Wr Wrk Inst,Institution,Usage Source,Number of Copies,Number of Pages,Comment,Line,Error Reason
,University of Chicago,Feb 2018 TUR,3,,,592,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,593,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,594,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,595,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,596,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,597,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,598,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,599,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,600,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,601,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,602,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,603,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,604,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,605,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,606,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,607,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,608,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,609,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,610,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,611,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,612,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,613,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,614,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,615,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,616,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,617,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,618,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,619,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,620,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,621,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,622,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,623,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,624,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,625,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,626,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,627,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,628,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,629,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,630,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,631,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,632,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,633,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,634,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,635,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,636,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,637,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,638,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,639,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,640,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,641,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,642,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,643,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,644,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,645,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,646,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,647,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,648,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,649,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,650,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,651,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,652,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,653,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,654,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,655,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,656,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,657,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,658,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,659,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,660,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,661,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,662,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,663,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,664,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,665,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,666,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,667,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,668,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,669,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,670,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,671,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,672,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,673,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,674,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,675,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,676,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,677,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,678,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,679,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,680,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,681,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,682,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,683,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,684,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,685,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,686,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,687,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,688,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,689,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,690,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,691,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,692,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,693,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,694,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,695,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,696,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,697,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,698,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,699,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,700,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,701,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,702,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,703,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,CORNELL UNIVERSITY,,10,14,,704,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,705,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,706,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,707,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,708,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,709,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,710,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,711,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,712,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,713,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,714,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,715,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,716,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,717,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,718,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,719,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,720,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,721,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,722,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,723,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,724,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,725,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,726,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,727,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,728,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,729,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,730,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,731,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,732,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,733,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,734,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,735,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,736,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,737,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,738,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,739,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,740,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,741,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,742,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,743,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,744,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,745,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,746,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,747,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,748,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,749,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,750,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,751,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,752,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,753,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,754,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,755,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,756,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,757,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,758,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,759,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,760,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,761,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,762,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,763,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,764,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,765,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,766,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,767,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,768,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,769,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,770,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,771,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,772,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,773,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,774,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,775,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,776,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,777,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,778,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,779,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,780,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,781,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,782,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,783,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,784,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,785,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,786,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,787,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
